news_id,tweet_id,reply_id
891,1300187087421886464,1300224517156016129
900,1296234752463245313,1296235287836790784
900,1296234752463245313,1296235287836790784
903,1290072458129584129,1290196780886290432
903,1290072458129584129,1290196780886290432
912,1293055689078853632,1293061241737551873
912,1293055689078853632,1293064908549038080
912,1293055689078853632,1293070448456921094
912,1293055689078853632,1293106387820650496
912,1293055689078853632,1293124731361796096
912,1293055689078853632,1293152585562705922
912,1293055689078853632,1293222628791144451
912,1293055689078853632,1293100944880631809
912,1293055689078853632,1293108802405818368
912,1293055689078853632,1293160087754665986
912,1293055689078853632,1293332384301977601
912,1293055689078853632,1293105759346143232
912,1293055689078853632,1293165910954586113
912,1293055689078853632,1293233806103777281
912,1293055689078853632,1293061241737551873
912,1293055689078853632,1293124731361796096
912,1293055689078853632,1293152585562705922
912,1293055689078853632,1293222628791144451
912,1293055689078853632,1293100944880631809
912,1293055689078853632,1293108802405818368
912,1293055689078853632,1293160087754665986
912,1293055689078853632,1293332384301977601
912,1293055689078853632,1293105759346143232
912,1293055689078853632,1293165910954586113
912,1293055689078853632,1293233806103777281
912,1293055689078853632,1293124731361796096
912,1293055689078853632,1293152585562705922
912,1293055689078853632,1293222628791144451
912,1293055689078853632,1293100944880631809
912,1293055689078853632,1293108802405818368
912,1293055689078853632,1293160087754665986
912,1293055689078853632,1293332384301977601
912,1293055689078853632,1293105759346143232
912,1293055689078853632,1293165910954586113
912,1293055689078853632,1293233806103777281
912,1293055689078853632,1293234819422461952
912,1288695178237272065,1288695181039095808
912,1287912887705653248,1287914246148435968
