index,tweet_id
891,1300283193250246658
891,1300187087421886464
900,1296588646552932352
900,1296234752463245313
903,1290072458129584129
912,1296147201232719872
912,1293055689078853632
912,1291139259529744384
912,1288959325981966337
912,1288695178237272065
912,1288588802349363200
912,1288438953666740224
912,1288346438317948930
912,1288331008811532288
912,1288306955220484100
912,1288230513459814406
912,1288138236272037889
912,1288069362390315008
912,1288052419285274627
912,1287928617146765312
912,1287912887705653248
912,1287909653326766082
912,1287878555414585345
