,type,fact_check_url,news_url,title,newstitle,content,abstract,publish_date,meta_keywords
1555,article,healthline.com,https://www.healthline.com/health-news/how-to-enjoy-the-4th-of-july-weekend-amid-the-covid-19-resurgence,How to Enjoy the Fourth of July Weekend Amid the COVID-19 Resurgence,"""How to Enjoy Fourth of July Weekend Amid the COVID-19 Resurgence""",experts recommend everyone avoid large gatherings especially those with people outside your social bubble during the july fourth holiday weekend. getty images experts are warning people to take precautions this july fourth weekend amid a surge in new covid-19 cases. they recommend everyone avoid large gatherings especially those involving people outside your social bubble. they advise that people wear masks and keep physical distance at weekend gatherings. they also recommend that tab. ,experts recommend everyone avoid large gatherings especially those with people outside your social bubble during the july fourth holiday weekend .. ,,"""COVID19 coronavirus prevention advice July 4 weekend, COVID19 coronavirus cases linked to Memorial Day weekend"""
1556,article,healthline.com,https://www.healthline.com/health-news/cdc-expands-list-of-those-with-higher-covid19-risks,CDC Expands List of Those with Higher COVID-19 Risks: What to Know,"""CDC Expands List of Those with Higher COVID-19 Risks""",experts say the key is to stay in the know and practice safe habits such as masking physical distancing and when needed isolation. what should the public do. the guidelines do not suggest that people with these underlying conditions are more susceptible to developing covid-19. by removing a set age cut off the updated guidelines give notice to people with underlying conditions of all ages that they are more likely to end up in an intensive care unit icu if they contract the virus. wha. ,officials at the centers for disease control and prevention now say pregnant women are among those who are at higher risk of more serious covid-19 cases .. ,,"""CDC list expanded COVID-19 coronavirus higher risk groups, pregnant women COVID-19 coronavirus higher risk hospitalization"""
1557,article,healthline.com,https://www.healthline.com/health-news/feds-warn-that-face-mask-exemption-cards-are-fake,Feds Warn That Face Mask ‘Exemption’ Cards Are Fake,"""Feds Warn That Face Mask ‘Exemption’ Cards Are Fake""",some people have reportedly been presenting fake cards in places of business during the covid-19 pandemic. the cards claim the person possessing it has a medical condition that exempts them from wearing a mask because of the americans with disabilities act ada. the ada contains an exemption regarding the health and safety of others. that means it may not cover people with disabilities if they chose not to wear a mask. the department of justice doj has issued a notice stating that th. ,reports of people presenting cards that claim they are exempt from wearing face masks in public has prompted the doj to issue a statement that the cards are fraudulent .. ,,"""covid 19, coronavirus, face mask exemption cards,"""
1558,article,healthline.com,https://www.healthline.com/health-news/experts-confident-bidens-covid-19-response-could-speed-recovery,Experts Confident Biden’s COVID-19 Response Could Speed Recovery,"""Experts Confident Biden's COVID-19 Response Could Speed Recovery""",medical experts say they believe bidens plan to address covid-19 would emphasize a better future for how to handle the continued threat of the outbreak. getty images democratic presidential candidate joe biden has outlined a range of proposals for crafting a better national response to the covid-19 pandemic. medical experts say a lack of testing and supplies early on in the pandemic here in the u.s. hampered our response. however they are encouraged by bidens plan since it calls for lis. ,medical experts say they believe bidens plan to address covid-19 would emphasize a better future for how to handle the continued threat of the outbreak .. ,,"""covid 19, coronavirus, testing and tracing"""
1559,article,healthline.com,https://www.healthline.com/health-news/heres-exactly-where-were-at-with-vaccines-and-treatments-for-covid-19,Here’s Exactly Where We Are with Vaccines and Treatments for COVID-19,"""Where We're at with Vaccines and Treatments for COVID-19""",scientists around the world are working on a number of vaccines and treatments for covid-19. xinhua zhang yuwei via getty images scientists around the world are working on potential treatments and vaccines for the new coronavirus disease known as covid-19. several companies are working on antiviral drugs some of which are already in use against other illnesses to treat people who already have covid-19. other companies are working on vaccines that could be used as a preventive measure aga. ,scientists around the world are working on a number of vaccines and treatments for covid-19 .. ,,"""covid19 coronavirus outbreak research progress vaccines antiviral drugs treatments"""
1560,article,healthline.com,https://www.healthline.com/health-news/best-materials-for-covid19-face-masks,New Study Details the Best Types of COVID-19 Face Masks,"""New Study Details the Best Materials for COVID-19 Face Masks""",experts say surgical masks are an effective option to help stop the transmission of covid-19. getty images new research shows that the most effective homemade face masks are those made with tightly woven fabric and providing a good seal along the edges. bandanas were not found to be effective. n95 masks need to be properly fitted and should be reserved for those who need them. surgical face masks are another effective option in areas where they re readily available. all data and statisti. ,experts say the type of material as well as the construction of the face mask make a difference. surgical masks are considered a good option for helping reduce the transmission of covid-19. ,,"""COVID19 coronavirus face mask materials construction importance effectiveness, no face mask COVID19 coronavirus droplets travel more than 6 feet, best materials face mask COVID19, best face masks COVID19"""
1561,article,healthline.com,https://www.healthline.com/health-news/covid19-cases-rising-states-reopened,States Are Learning What Happens to COVID-19 Cases If You Reopen Too Early,"""Some States Are Learning What Happens to COVID-19 Cases If You Reopen""",more than 30 states are reporting an increase in confirmed covid-19 cases in the midst of the reopening of businesses and public facilities. in addition 12 states are reporting an increase in hospitalization rates. experts say the behavior of individuals as communities reopen is a major factor in whether covid-19 cases continue to rise. experts also say the number of hospitalizations is a key indicator if reopening is working or not. it appears to be official. covid-19 has come back. ,more than 30 states are reporting an increase in confirmed covid-19 cases. experts say whether people follow guidelines such as physical distancing and face masks will determine if reopening is successful. ,,"""COVID19 coronavirus states reopen too soon increase in cases deaths, Georgia Texas Tennessee reopen too soon increase COVID19 coronavirus deaths cases"""
1562,article,healthline.com,https://www.healthline.com/health-news/what-to-know-about-potential-covid-19-treatment-remdesivir,What to Know About Potential COVID-19 Treatment Remdesivir,"""What to Know About Potential COVID-19 Treatment Remdesivir""",remdesivir went from potential ebola treatment to offering modest benefits for people with covid-19. drugmaker gilead sciences inc. began research on remdesivir in 2009. later testing showed that the drug had broad spectrum antiviral activity. all data and statistics are based on publicly available data at the time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for the most recent information on the covid-19 outbreak. remd. ,remdesivir a drug that once offered hope against ebola is now in the spotlight as the only current effective medication for covid-19. but experts caution that its no silver bullet against the disease caused by the novel coronavirus. ,,"""COVID-19, coronavirus, remdesivir, coronavirus treatment"""
1563,article,healthline.com,https://www.healthline.com/health-news/fighting-family-burnout-during-the-covid-19-crisis,Fighting Family Burnout During the COVID-19 Crisis,"""Fighting Family Burnout During the COVID-19 Crisis""",after months of stay at home orders family burnout is becoming an additional challenge in some households. getty images after 3 months of covid-19 togetherness families across the nation are experiencing symptoms of family burnout. the pressures on single parents are especially high. marriages are also suffering with inescapable togetherness highlighting the fractures in relationships and leading to an increase in petitions for divorce in other countries. parents should be focusing on. ,after months of stay at home orders family burnout is becoming an additional challenge in some households. but medical experts say there are steps you can take to help and ease its impact. ,,"""family burnout, covid 19, coronavirus, stay at home, shelter in place"""
1564,article,healthline.com,https://www.healthline.com/health-news/travel-bans-quarantines-dont-stop-covid1-9-spread-but-can-delay-it,"Travel Bans, Quarantines Don’t Stop COVID-19 Spread, but They Can Delay It","""Travel Bans, Quarantines Don't Stop but Can Delay COVID-19 Spread""",experts say travel restrictions implemented by states are more difficult to enforce than limits placed on travelers from other countries. getty images new york new jersey and connecticut are instituting 14-day quarantines on travelers coming from covid-19 hot spots. experts say quarantines and travel bans can help delay and even perhaps reduce covid-19 transmission but they ca nt prevent the spread of the disease. they note that state restrictions are more difficult to enforce than limi. ,experts say travel restrictions implemented by states are more difficult to enforce than limits placed on travelers from other countries .. ,,"""covid19 coronavirus travel bans quarantines really work help stop spread"""
