index,tweet_id
3540,1321065894383099905
3542,1320123660070383616
3542,1319918422692593665
3543,1319918427490975747
3552,1319103001102090246
3559,1317049570514317313
3565,1316294517436416000
3567,1316294524604481538
3570,1315917019057979392
3572,1315146929643323392
3576,1311878013202518016
3578,1313909130013347847
3610,1308035047392411650
3611,1307264997005950982
3611,1304238734146142208
3613,1306887486480814082
3626,1304894428092526592
3630,1304501836821549058
3639,1301768777571467265
3640,1301376233196920835
3648,1303106413900828673
3663,1317011749531537408
3664,1317076201882578944
3664,1317030865386541057
3664,1316761682203602944
3667,1316649288244572161
3670,1315924502748954624
3676,1313811707383492610
3676,1313750381034340352
3676,1313694126425112576
3676,1313687050760212482
3676,1313679464111525888
3682,1312300680468729856
3687,1310412924037595136
3687,1310126422732791809
3710,1301791483557744643
3710,1301744943153557505
3723,1309283402651107330
3725,1309011770112126980
3777,1321306488187604997
3797,1322626977346576384
3797,1322577305177305095
3797,1322572109395218432
3797,1322567236687724544
3797,1322547510481768449
3797,1322547168134205440
3797,1322544071479500802
3797,1322538412474208262
3797,1322529254006022146
3797,1322525774985883648
3797,1322524877643902976
3797,1322522112242806786
3797,1322521634062897152
3797,1322521462285111297
3797,1322521321964789765
3825,1321077691278393345
3860,1321647309650907136
3860,1319665016241487872
3860,1319647037218979841
3860,1319400827505704960
3860,1319398854094213120
3860,1319392013020790784
3860,1319384033768464385
3864,1319816139187302400
3864,1319430815219056640
3889,1318336619099860998
3889,1318271888599121920
3889,1318268355019681792
3889,1318216011540320256
3889,1318214179468251136
3889,1318208980674596873
3889,1318150646948921344
3889,1318134753338355713
3889,1318097719152529408
3889,1318092868708433921
3889,1318018220268212229
3889,1317994904379863047
3905,1318604866202238978
3905,1316703659502317568
3932,1315911138597634048
3932,1315877136750841856
3932,1315778132172046336
3932,1315773288593924097
3932,1315771902128984065
3932,1315770168136609792
3935,1315970373574328320
3935,1315784691191087104
3935,1315733490701393921
3935,1315639596106092544
3935,1315612745740570624
3935,1315599519648751616
3935,1315546753832083456
3935,1315542040101318656
3935,1315510726316843014
3935,1315507933610872832
3935,1315499730894491649
3935,1315494324763754496
3935,1315494193066913792
3935,1315476071647596545
3935,1315471473461600258
3935,1315460409198088192
3935,1315446025352441856
3935,1315442959366729728
3935,1315434570645471233
3935,1315434033438810112
3935,1315431787032608770
3935,1315430622685540353
3935,1315429819371393026
3935,1315419859346432000
3935,1315417401081634818
3935,1315410023577772032
3935,1315407270767857664
3935,1315402001568747521
3935,1315399872644870146
3935,1315397450987905027
3935,1315396758512435200
3935,1315396461711024128
3935,1315394378601439234
3935,1315391940238741504
3935,1315391563795660801
3935,1315391463937712129
3935,1315381644057022465
3935,1315379091802030086
3935,1315378877712261125
3935,1315376590096719877
3935,1315375249681248256
3935,1315373854181777408
3935,1315372904171921408
3935,1315372872190263298
3935,1315371683419746304
3935,1315368148481314821
3935,1315364111144943616
3935,1315363121708642305
3935,1315361974876856322
3935,1315357245270523911
3970,1314141146751197185
3970,1313877436992557057
3970,1313758191365152768
3970,1313729930811842560
3970,1313706629297328130
3970,1313706629011968005
3970,1313706628999380994
3970,1313706628806438913
3970,1313698588543774720
3970,1313667871453708290
3970,1313648682382753792
3970,1313641105242550272
3970,1313640690241470468
3970,1313636906689683458
3970,1313608836222074880
3970,1313606876811137024
3970,1313606056770179072
3970,1313605262700408832
3970,1313601960537288705
3970,1313597532560224256
3970,1313583678031900677
3970,1313581986326474752
3970,1313581129358696448
3970,1313578005122482179
3970,1313577486266109953
3970,1313574304706187265
3970,1313571971796537349
3970,1313569592078462978
3970,1313569292986744832
3970,1313568939780329474
3970,1313567637033680896
3970,1313567078125838338
3970,1313566535504588802
3970,1313563299670351873
4133,1306088557493145600
4176,1303946974693978114
4187,1303743940408094720
4194,1306704009047109632
4204,1320948078212452352
4204,1319857069172862976
4204,1314291762194722818
4204,1314010521604100097
4224,1308311915647700992
4224,1305491154184679424
4224,1302469532766941184
4236,1322621848593616898
4236,1320393541080784900
4236,1318482448175476737
4236,1318322131365621760
4236,1317603956772818944
4236,1310900131303170048
4236,1306610814414204928
4296,1321514878398570496
4296,1321060426206093315
4296,1315896649785372672
4311,1319572296319774720
4311,1316748475510542350
4311,1310630581349253124
