,fact_check_url,news_url,title
100000,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Spraying chlorine or alcohol on the skin kills viruses in the body"""
100001,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Only older adults and young people are at risk"""
100002,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Children cannot get COVID-19"""
100003,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""COVID-19 is just like the flu"""
100004,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Everyone with COVID-19 dies"""
100005,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Cats and dogs spread coronavirus"""
100006,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Face masks always protect against coronavirus"""
100007,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Hand dryers kill coronavirus"""
100008,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""SARS-CoV-2 is just a mutated form of the common cold"""
100009,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""You have to be with someone for 10 minutes to catch the virus"""
100010,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Rinsing the nose with saline protects against coronavirus"""
100011,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""You can protect yourself by gargling bleach"""
100012,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Antibiotics kill coronavirus"""
100013,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Thermal scanners can diagnose coronavirus"""
100014,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Garlic protects against coronaviruses"""
100015,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Parcels from China can spread coronavirus"""
100016,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Home remedies can cure and protect against COVID-19"""
100017,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""You can catch coronavirus from eating Chinese food in the US"""
100018,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""You can catch coronavirus from urine and feces"""
100019,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""The virus will die off when temperatures rise in the spring"""
100020,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Coronavirus is the deadliest virus known to humans"""
100021,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Flu and pneumonia vaccines can protect against COVID-19"""
100022,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""The virus originated in a laboratory in China"""
100023,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""The outbreak began because people ate bat soup"""
100024,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""5G helps SARS-CoV-2 spread"""
100025,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Drinking alcohol reduces the risk of infection"""
100026,medicalnewstoday.com,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,"""Injecting or consuming bleach or disinfectant kills the virus"""
